Temperatura_prom,Temperatura_max,Temperatura_min,P_rocio_prom,P_rocio_min,HR_prom,HR_max,HR_min,Radiacion,Viento_prom,Viento_max,Precipitacion,Estrato,Flores_abiertas,Fenologia,Temp-1,Temp-2,P_rocio-1,P_rocio-2,HR-1,HR-2,Viento-1,Viento-2,Precipitación-1,Precipitación-2,Radiacion-1,Radiacion-2,Aplicacion_contacto,Aplicación_sistémica,Incidencia_num
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,11,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,11
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,12,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,12.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,6,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,8
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,12,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,8.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,9,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,59.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,15,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,25
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,9,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,6
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,10,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,12.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,12,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,18
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,13,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,14.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,16,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,17
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,9,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,9.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,0,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,3
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,19,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,31
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,0,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,2
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,4,1,13.905,13.92,10.43,10.48,82.85,83.02,0.825,0.826,2.775,2.313,137.08,136.86,1,0,3.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,8,1,13.905,13.92,10.43,10.48,82.85,83.02,0.907,0.826,2.775,2.313,137.08,136.86,1,0,5.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,27,1,13.905,13.92,10.43,10.48,82.85,83.02,0.907,0.826,2.775,2.313,137.08,136.86,1,0,23.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,14,1,13.905,13.92,10.43,10.48,82.85,83.02,0.907,0.826,2.775,2.313,137.08,136.86,1,0,25.5
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,1,18,1,13.905,13.92,10.43,10.48,82.85,83.02,0.907,0.826,2.775,2.313,137.08,136.86,1,0,34
13.89,20.24,8.12,10,6,78.24,100,46.87,144,1.1,4,0,0,0,0,13.905,13.92,10.43,10.48,82.85,83.02,0.907,0.826,2.775,2.313,137.08,136.86,1,0,0
