Incidencia,Fecha,HR_min,PDR_min,Viento_prom,Flores_abiertas
,8/20/2023,10,62.24,0.8,
,8/21/2023,10.4,57.53,0.7,
,8/22/2023,8.7,54.14,1,
,8/23/2023,2,30.66,1,
,8/24/2023,7.3,51.16,0.7,
,8/25/2023,6.7,43.81,0.6,
,8/26/2023,1.1,25.37,1.1,
,8/27/2023,3.8,30.49,0.8,
,8/28/2023,6.5,42.07,0.9,
,8/29/2023,5.8,39.09,0.8,
9.075,8/30/2023,5.8,46.87,1.1,7.2
,8/31/2023,5.6,42.09,1.2,
,9/1/2023,5.3,38.43,1,
,9/2/2023,5.4,50.06,0.7,
,9/3/2023,7.3,48.55,0.6,
,9/4/2023,8.9,50.77,1,
,9/5/2023,6.5,42.6,1.1,
,9/6/2023,5.2,37.39,1.3,
,9/7/2023,7.4,51.24,0.7,
,9/8/2023,4.3,52.25,0.8,
,9/9/2023,4.7,49.29,1.1,
,9/10/2023,8.8,48.95,0.8,
,9/11/2023,6,43.26,0.9,
,9/12/2023,2.5,48.29,0.7,
,9/13/2023,3.9,44.84,0.8,
14.96,9/14/2023,8.6,54.87,1.1,6.525
,9/15/2023,3.9,39.46,1.2,
,9/16/2023,3.3,45.63,0.8,
,9/17/2023,6.2,60.16,0.7,
,9/18/2023,4.5,49.94,0.9,
,9/19/2023,5.4,43.86,1.2,
,9/20/2023,1.7,54.78,0.7,
,9/21/2023,3.5,35.26,1.1,
,9/22/2023,3.4,41.36,0.9,
,9/23/2023,8.1,55.03,0.9,
,9/24/2023,10.1,52.34,1,
,9/25/2023,9,51.78,1,
,9/26/2023,6.1,48.48,0.7,
,9/27/2023,4.6,46.53,0.7,
,9/28/2023,6.3,48.21,0.8,
,9/29/2023,5,51.83,1,
,9/30/2023,5,39.06,0.8,
,10/1/2023,8.1,48.75,1,
,10/2/2023,4,45.64,0.7,
,10/3/2023,6,50.45,0.9,
51.9175,10/4/2023,8.6,54.22,0.9,58.06
